Source,Target,Value,Units,Table ID
Other1,Clothing Industries,,Petajoules,id_ca_e_26
Electricity,Leather and Allied Products Industries,0.2,Petajoules,id_ca_e_27
Natural Gas,Leather and Allied Products Industries,0.1,Petajoules,id_ca_e_27
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Heavy Fuel Oil,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Still Gas and Petroleum Coke,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
LPG and Gas Plant NGL,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Coal,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Coke and Coke Oven Gas,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Wood Waste and Pulping Liquor,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Other1,Leather and Allied Products Industries,0.0,Petajoules,id_ca_e_27
Electricity,Wood Products Industries,,Petajoules,id_ca_e_28
Natural Gas,Wood Products Industries,,Petajoules,id_ca_e_28
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Wood Products Industries,3.3,Petajoules,id_ca_e_28
Heavy Fuel Oil,Wood Products Industries,,Petajoules,id_ca_e_28
Still Gas and Petroleum Coke,Wood Products Industries,0.0,Petajoules,id_ca_e_28
LPG and Gas Plant NGL,Wood Products Industries,,Petajoules,id_ca_e_28
Coal,Wood Products Industries,0.0,Petajoules,id_ca_e_28
Coke and Coke Oven Gas,Wood Products Industries,0.0,Petajoules,id_ca_e_28
Wood Waste and Pulping Liquor,Wood Products Industries,,Petajoules,id_ca_e_28
Other1,Wood Products Industries,,Petajoules,id_ca_e_28
Electricity,Pulp Mills,50.1,Petajoules,id_ca_e_29
Natural Gas,Pulp Mills,,Petajoules,id_ca_e_29
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Pulp Mills,0.9,Petajoules,id_ca_e_29
Heavy Fuel Oil,Pulp Mills,3.8,Petajoules,id_ca_e_29
Still Gas and Petroleum Coke,Pulp Mills,0.0,Petajoules,id_ca_e_29
LPG and Gas Plant NGL,Pulp Mills,,Petajoules,id_ca_e_29
Coal,Pulp Mills,0.0,Petajoules,id_ca_e_29
Coke and Coke Oven Gas,Pulp Mills,0.0,Petajoules,id_ca_e_29
Wood Waste and Pulping Liquor,Pulp Mills,,Petajoules,id_ca_e_29
Other1,Pulp Mills,,Petajoules,id_ca_e_29
Electricity,Paper Mills (except newsprint),26.4,Petajoules,id_ca_e_30
Natural Gas,Paper Mills (except newsprint),,Petajoules,id_ca_e_30
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Paper Mills (except newsprint),0.1,Petajoules,id_ca_e_30
Heavy Fuel Oil,Paper Mills (except newsprint),,Petajoules,id_ca_e_30
Still Gas and Petroleum Coke,Paper Mills (except newsprint),0.0,Petajoules,id_ca_e_30
LPG and Gas Plant NGL,Paper Mills (except newsprint),0.0,Petajoules,id_ca_e_30
Coal,Paper Mills (except newsprint),0.0,Petajoules,id_ca_e_30
Coke and Coke Oven Gas,Paper Mills (except newsprint),0.0,Petajoules,id_ca_e_30
Wood Waste and Pulping Liquor,Paper Mills (except newsprint),,Petajoules,id_ca_e_30
Other1,Paper Mills (except newsprint),,Petajoules,id_ca_e_30
Electricity,Newsprint Mills,45.0,Petajoules,id_ca_e_31
Natural Gas,Newsprint Mills,,Petajoules,id_ca_e_31
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Newsprint Mills,0.1,Petajoules,id_ca_e_31
Heavy Fuel Oil,Newsprint Mills,0.7,Petajoules,id_ca_e_31
Still Gas and Petroleum Coke,Newsprint Mills,0.0,Petajoules,id_ca_e_31
LPG and Gas Plant NGL,Newsprint Mills,0.0,Petajoules,id_ca_e_31
Coal,Newsprint Mills,0.0,Petajoules,id_ca_e_31
Coke and Coke Oven Gas,Newsprint Mills,0.0,Petajoules,id_ca_e_31
Wood Waste and Pulping Liquor,Newsprint Mills,,Petajoules,id_ca_e_31
Other1,Newsprint Mills,0.5,Petajoules,id_ca_e_31
Electricity,Paperboard Mills,6.1,Petajoules,id_ca_e_32
Natural Gas,Paperboard Mills,11.2,Petajoules,id_ca_e_32
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Paperboard Mills,,Petajoules,id_ca_e_32
Heavy Fuel Oil,Paperboard Mills,,Petajoules,id_ca_e_32
Still Gas and Petroleum Coke,Paperboard Mills,0.0,Petajoules,id_ca_e_32
LPG and Gas Plant NGL,Paperboard Mills,0.0,Petajoules,id_ca_e_32
Coal,Paperboard Mills,0.0,Petajoules,id_ca_e_32
Coke and Coke Oven Gas,Paperboard Mills,0.0,Petajoules,id_ca_e_32
Wood Waste and Pulping Liquor,Paperboard Mills,,Petajoules,id_ca_e_32
Other1,Paperboard Mills,,Petajoules,id_ca_e_32
Electricity,Other Pulp and Paper Manufacturing,11.6,Petajoules,id_ca_e_33
Natural Gas,Other Pulp and Paper Manufacturing,8.9,Petajoules,id_ca_e_33
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Other Pulp and Paper Manufacturing,0.0,Petajoules,id_ca_e_33
Heavy Fuel Oil,Other Pulp and Paper Manufacturing,0.2,Petajoules,id_ca_e_33
Still Gas and Petroleum Coke,Other Pulp and Paper Manufacturing,0.0,Petajoules,id_ca_e_33
LPG and Gas Plant NGL,Other Pulp and Paper Manufacturing,0.1,Petajoules,id_ca_e_33
Coal,Other Pulp and Paper Manufacturing,0.0,Petajoules,id_ca_e_33
Coke and Coke Oven Gas,Other Pulp and Paper Manufacturing,0.0,Petajoules,id_ca_e_33
Wood Waste and Pulping Liquor,Other Pulp and Paper Manufacturing,10.5,Petajoules,id_ca_e_33
Other1,Other Pulp and Paper Manufacturing,0.0,Petajoules,id_ca_e_33
Electricity,Converted Paper Products Industry,7.2,Petajoules,id_ca_e_34
Natural Gas,Converted Paper Products Industry,,Petajoules,id_ca_e_34
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Converted Paper Products Industry,0.0,Petajoules,id_ca_e_34
Heavy Fuel Oil,Converted Paper Products Industry,,Petajoules,id_ca_e_34
Still Gas and Petroleum Coke,Converted Paper Products Industry,0.0,Petajoules,id_ca_e_34
LPG and Gas Plant NGL,Converted Paper Products Industry,0.1,Petajoules,id_ca_e_34
Coal,Converted Paper Products Industry,0.0,Petajoules,id_ca_e_34
Coke and Coke Oven Gas,Converted Paper Products Industry,0.0,Petajoules,id_ca_e_34
Wood Waste and Pulping Liquor,Converted Paper Products Industry,,Petajoules,id_ca_e_34
Other1,Converted Paper Products Industry,,Petajoules,id_ca_e_34
Electricity,Printing and Related Support Activities,3.1,Petajoules,id_ca_e_35
Natural Gas,Printing and Related Support Activities,1.9,Petajoules,id_ca_e_35
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Heavy Fuel Oil,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Still Gas and Petroleum Coke,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
LPG and Gas Plant NGL,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Coal,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Coke and Coke Oven Gas,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Wood Waste and Pulping Liquor,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Other1,Printing and Related Support Activities,0.0,Petajoules,id_ca_e_35
Electricity,Petroleum Refining,17.6,Petajoules,id_ca_e_36
Natural Gas,Petroleum Refining,54.7,Petajoules,id_ca_e_36
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Petroleum Refining,,Petajoules,id_ca_e_36
Heavy Fuel Oil,Petroleum Refining,,Petajoules,id_ca_e_36
Still Gas and Petroleum Coke,Petroleum Refining,240.1,Petajoules,id_ca_e_36
LPG and Gas Plant NGL,Petroleum Refining,2.1,Petajoules,id_ca_e_36
Coal,Petroleum Refining,0.0,Petajoules,id_ca_e_36
Coke and Coke Oven Gas,Petroleum Refining,0.0,Petajoules,id_ca_e_36
Wood Waste and Pulping Liquor,Petroleum Refining,0.0,Petajoules,id_ca_e_36
Other1,Petroleum Refining,0.0,Petajoules,id_ca_e_36
Electricity,Petrochemical Industry,3.6,Petajoules,id_ca_e_37
Natural Gas,Petrochemical Industry,,Petajoules,id_ca_e_37
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Petrochemical Industry,,Petajoules,id_ca_e_37
Heavy Fuel Oil,Petrochemical Industry,,Petajoules,id_ca_e_37
